Views,Likes,Comments,Reposts,Poll,Hashtag,Date,Day,Time,Time_cat,Followers
2492,23,1,32,,#олимпикс_выездная,2022-05-02 19:30:00,2022-05-02,19:30:00,c 18 до 22 часов,1326
1187,10,0,2,,,2022-05-30 19:45:00,2022-05-30,19:45:00,c 18 до 22 часов,1326
5129,39,0,63,,#олимпикс_подборка,2022-05-29 20:45:00,2022-05-29,20:45:00,c 18 до 22 часов,1326
1455,20,4,9,,,2022-05-25 11:30:00,2022-05-25,11:30:00,c 10 до 14 часов,1326
3889,42,0,57,,#олимпикс_подборка,2022-05-21 21:36:33,2022-05-21,21:36:33,c 18 до 22 часов,1326
853,13,0,6,,,2022-05-13 17:49:30,2022-05-13,17:49:30,c 14 до 18 часов,1326
3988,25,5,5,,,2022-05-10 12:45:00,2022-05-10,12:45:00,c 10 до 14 часов,1326
622,4,0,0,,#олимпикс_рекомендация,2022-05-04 22:06:56,2022-05-04,22:06:56,после 22 часов,1326
1261,13,0,5,,,2022-04-26 11:35:00,2022-04-26,11:35:00,c 10 до 14 часов,1326
2776,45,1,4,,,2022-04-25 11:25:00,2022-04-25,11:25:00,c 10 до 14 часов,1326
1798,28,0,38,,#олимпикс_подборка,2022-04-20 20:31:00,2022-04-20,20:31:00,c 18 до 22 часов,1326
912,9,0,3,,,2022-04-18 19:30:00,2022-04-18,19:30:00,c 18 до 22 часов,1326
4116,14,0,10,,,2022-04-16 14:50:45,2022-04-16,14:50:45,c 14 до 18 часов,1326
1008,23,0,10,,#олимпикс_рекомендация,2022-04-10 21:47:53,2022-04-10,21:47:53,c 18 до 22 часов,1326
2269,32,0,15,,,2022-04-05 21:07:54,2022-04-05,21:07:54,c 18 до 22 часов,1326
1545,11,0,18,,#олимпикс_подборка,2022-04-02 20:30:00,2022-04-02,20:30:00,c 18 до 22 часов,1326
20383,23,1,53,,#олимпикс_анонс,2022-04-01 16:30:00,2022-04-01,16:30:00,c 14 до 18 часов,1326
813,11,0,5,,#олимпикс_мотивация,2022-03-28 21:00:01,2022-03-28,21:00:01,c 18 до 22 часов,1326
3225,18,0,22,,#олимпикс_анонс,2022-03-24 20:35:00,2022-03-24,20:35:00,c 18 до 22 часов,1326
1020,4,0,0,48.0,#олимпикс_опрос,2022-03-23 22:00:01,2022-03-23,22:00:01,после 22 часов,1326
1701,10,0,13,,#олимпикс_подборка,2022-03-22 21:15:00,2022-03-22,21:15:00,c 18 до 22 часов,1326
712,13,0,5,,#олимпикс_мотивация,2022-03-20 19:45:00,2022-03-20,19:45:00,c 18 до 22 часов,1326
651,7,0,10,,#олимпикс_подборка,2022-03-17 21:30:00,2022-03-17,21:30:00,c 18 до 22 часов,1326
1828,29,2,10,,#олимпикс_анонс,2022-03-15 21:30:00,2022-03-15,21:30:00,c 18 до 22 часов,1326
1663,9,0,13,,#олимпикс_подборка,2022-03-14 21:30:00,2022-03-14,21:30:00,c 18 до 22 часов,1326
776,9,0,0,,#олимпикс_анонс,2022-03-14 15:30:00,2022-03-14,15:30:00,c 14 до 18 часов,1326
646,13,0,17,,#олимпикс_подборка,2022-03-13 21:20:00,2022-03-13,21:20:00,c 18 до 22 часов,1326
1321,26,0,1,,,2022-03-01 22:50:50,2022-03-01,22:50:50,после 22 часов,1326
19391,16,0,11,,#олимпикс_анонс,2022-02-21 19:45:00,2022-02-21,19:45:00,c 18 до 22 часов,1326
899,8,0,0,82.0,#олимпикс_опрос,2022-02-20 15:30:00,2022-02-20,15:30:00,c 14 до 18 часов,1326
2430,19,1,21,,#олимпикс_подборка,2022-02-19 22:24:02,2022-02-19,22:24:02,после 22 часов,1326
15052,19,0,50,,#олимпикс_анонс,2022-02-17 16:35:42,2022-02-17,16:35:42,c 14 до 18 часов,1326
1599,28,0,28,,#олимпикс_подборка,2022-02-15 21:45:00,2022-02-15,21:45:00,c 18 до 22 часов,1326
564,2,0,0,27.0,#олимпикс_опрос,2022-02-14 20:45:00,2022-02-14,20:45:00,c 18 до 22 часов,1326
873,19,0,19,,#олимпикс_подборка,2022-02-13 21:30:00,2022-02-13,21:30:00,c 18 до 22 часов,1326
472,8,0,0,,#олимпикс_рекомендация,2022-02-12 19:30:00,2022-02-12,19:30:00,c 18 до 22 часов,1326
950,24,0,20,,#олимпикс_подборка,2022-02-02 18:30:00,2022-02-02,18:30:00,c 18 до 22 часов,1326
563,5,0,3,40.0,#олимпикс_опрос,2022-02-01 21:00:00,2022-02-01,21:00:00,c 18 до 22 часов,1326
684,9,0,4,,,2022-01-31 22:03:00,2022-01-31,22:03:00,после 22 часов,1326
1057,14,0,19,,#олимпикс_подборка,2022-01-30 20:30:00,2022-01-30,20:30:00,c 18 до 22 часов,1326
1194,8,0,1,,#олимпикс_интенсив,2022-01-30 18:00:02,2022-01-30,18:00:02,c 18 до 22 часов,1326
1328,21,1,6,,#олимпикс_лекции,2022-01-23 19:30:00,2022-01-23,19:30:00,c 18 до 22 часов,1326
1881,23,2,15,,#олимпикс_анонс,2022-01-17 22:30:00,2022-01-17,22:30:00,после 22 часов,1326
1186,29,2,32,,#олимпикс_подборка,2022-01-16 01:00:00,2022-01-16,01:00:00,до 10 утра,1326
816,14,0,2,,#олимпикс_рекомендует,2022-01-15 20:45:00,2022-01-15,20:45:00,c 18 до 22 часов,1326
614,24,0,14,,#олимпикс_подборка,2022-01-15 01:30:00,2022-01-15,01:30:00,до 10 утра,1326
1058,25,0,27,,#олимпикс_подборка,2022-01-14 21:30:00,2022-01-14,21:30:00,c 18 до 22 часов,1326
861,31,1,38,,#олимпикс_подборка,2022-01-13 21:12:00,2022-01-13,21:12:00,c 18 до 22 часов,1326
1897,28,0,10,,#олимпикс_новости,2022-01-02 21:01:41,2022-01-02,21:01:41,c 18 до 22 часов,1326
867,19,0,0,,,2021-12-31 20:00:03,2021-12-31,20:00:03,c 18 до 22 часов,1326
1091,19,0,4,,#олимпикс_истории,2021-12-15 20:30:00,2021-12-15,20:30:00,c 18 до 22 часов,1326
1618,33,0,26,,#олимпикс_подборка,2021-12-14 20:45:00,2021-12-14,20:45:00,c 18 до 22 часов,1326
911,15,0,7,,#олимпикс_содружество,2021-12-11 03:32:39,2021-12-11,03:32:39,до 10 утра,1326
1447,24,0,9,,,2021-12-07 22:18:56,2021-12-07,22:18:56,после 22 часов,1326
683,11,0,1,,#олимпикс_подборка,2021-12-06 15:27:57,2021-12-06,15:27:57,c 14 до 18 часов,1326
1154,18,0,2,,#державинский_форум,2021-11-25 21:56:52,2021-11-25,21:56:52,c 18 до 22 часов,1326
1228,20,0,13,,#олимпикс_подборка,2021-11-22 20:45:00,2021-11-22,20:45:00,c 18 до 22 часов,1326
1300,19,0,3,,#державинский_форум,2021-11-22 14:24:43,2021-11-22,14:24:43,c 14 до 18 часов,1326
816,25,1,2,,#державинский_форум,2021-11-20 23:53:02,2021-11-20,23:53:02,после 22 часов,1326
1134,14,0,3,,#державинский_форум,2021-11-17 18:29:52,2021-11-17,18:29:52,c 18 до 22 часов,1326
698,4,0,2,83.0,#олимпикс_опрос,2021-11-11 17:05:49,2021-11-11,17:05:49,c 14 до 18 часов,1326
988,29,0,30,,#олимпикс_подборка,2021-11-07 20:45:00,2021-11-07,20:45:00,c 18 до 22 часов,1326
769,18,0,9,,#олимпикс_подборка,2021-11-07 00:58:04,2021-11-07,00:58:04,до 10 утра,1326
1016,28,0,24,,#олимпикс_подборка,2021-11-01 23:32:08,2021-11-01,23:32:08,после 22 часов,1326
669,11,0,2,,#олимпикс_термин,2021-10-24 22:14:27,2021-10-24,22:14:27,после 22 часов,1326
619,5,0,1,39.0,#олимпикс_опрос,2021-10-24 01:42:54,2021-10-24,01:42:54,до 10 утра,1326
964,37,1,44,,#олимпикс_подборка,2021-10-21 22:49:14,2021-10-21,22:49:14,после 22 часов,1326
634,12,0,1,,#олимпикс_фильмы,2021-10-16 21:58:00,2021-10-16,21:58:00,c 18 до 22 часов,1326
559,5,0,0,,,2021-10-13 14:00:01,2021-10-13,14:00:01,c 14 до 18 часов,1326
860,26,0,5,,,2021-10-08 17:00:00,2021-10-08,17:00:00,c 14 до 18 часов,1326
838,22,0,8,,,2021-10-04 19:00:02,2021-10-04,19:00:02,c 18 до 22 часов,1326
868,15,0,6,,#step_1,2021-09-25 18:26:06,2021-09-25,18:26:06,c 18 до 22 часов,1326
1070,32,1,17,,,2021-09-25 16:00:01,2021-09-25,16:00:01,c 14 до 18 часов,1326
520,6,0,0,,,2021-09-24 16:57:02,2021-09-24,16:57:02,c 14 до 18 часов,1326
721,13,0,2,,,2021-09-17 18:00:03,2021-09-17,18:00:03,c 18 до 22 часов,1326
491,8,0,0,,,2021-09-15 15:58:07,2021-09-15,15:58:07,c 14 до 18 часов,1326
439,6,0,0,,,2021-09-15 10:48:29,2021-09-15,10:48:29,c 10 до 14 часов,1326
4821,26,1,11,,,2021-09-10 18:14:37,2021-09-10,18:14:37,c 18 до 22 часов,1326
1524,30,4,5,,,2021-09-05 19:19:49,2021-09-05,19:19:49,c 18 до 22 часов,1326
1268,12,1,5,,#олимпикс_выездная,2021-07-15 17:39:31,2021-07-15,17:39:31,c 14 до 18 часов,1326
1107,17,1,6,,#олимпикс_подборка,2021-07-14 16:42:51,2021-07-14,16:42:51,c 14 до 18 часов,1326
1002,12,0,7,,#олимпикс_рекомендация,2021-06-30 12:21:32,2021-06-30,12:21:32,c 10 до 14 часов,1326
1111,16,1,13,,#олимпикс_подборка,2021-06-26 19:45:19,2021-06-26,19:45:19,c 18 до 22 часов,1326
1053,17,0,2,,#олимпикс_термин,2021-06-08 19:19:24,2021-06-08,19:19:24,c 18 до 22 часов,1326
1043,17,0,10,,#олимпикс_статья,2021-06-07 21:31:57,2021-06-07,21:31:57,c 18 до 22 часов,1326
919,7,0,1,,#олимпикс_термин,2021-05-25 16:45:56,2021-05-25,16:45:56,c 14 до 18 часов,1326
15098,10,0,12,,#олимпикс_выездная,2021-05-22 17:05:29,2021-05-22,17:05:29,c 14 до 18 часов,1326
1236,24,2,21,,#олимпикс_подборка,2021-05-16 17:36:41,2021-05-16,17:36:41,c 14 до 18 часов,1326
744,11,0,2,,#олимпикс_термин,2021-05-14 15:44:03,2021-05-14,15:44:03,c 14 до 18 часов,1326
611,8,0,1,,#олимпикс_выездная,2021-05-13 15:27:38,2021-05-13,15:27:38,c 14 до 18 часов,1326
615,6,0,1,,#олимпикс_термин,2021-05-11 17:40:00,2021-05-11,17:40:00,c 14 до 18 часов,1326
26985,40,0,75,,#олимпикс_выездная,2021-05-04 19:35:28,2021-05-04,19:35:28,c 18 до 22 часов,1326
924,14,0,7,,#олимпикс_выездная,2021-05-02 17:05:38,2021-05-02,17:05:38,c 14 до 18 часов,1326
715,4,0,2,,#олимпикс_термин,2021-04-26 12:46:12,2021-04-26,12:46:12,c 10 до 14 часов,1326
808,21,0,10,,#олимпикс_подборка,2021-04-25 19:08:02,2021-04-25,19:08:02,c 18 до 22 часов,1326
877,20,0,3,,#олимпикс_марафон,2021-04-24 13:28:41,2021-04-24,13:28:41,c 10 до 14 часов,1326
639,6,0,1,,,2021-04-23 12:17:47,2021-04-23,12:17:47,c 10 до 14 часов,1326
1291,22,2,2,,#олимпикс_интервью,2021-04-22 13:21:57,2021-04-22,13:21:57,c 10 до 14 часов,1326
9814,14,0,13,,#олимпикс_выездная,2021-04-21 19:09:59,2021-04-21,19:09:59,c 18 до 22 часов,1326
544,10,0,5,,#олимпикс_подборка,2021-04-21 01:21:15,2021-04-21,01:21:15,до 10 утра,1326
640,13,0,1,,#олимпикс_марафон,2021-04-20 13:34:18,2021-04-20,13:34:18,c 10 до 14 часов,1326
471,6,0,0,,#олимпикс_термин,2021-04-18 21:45:51,2021-04-18,21:45:51,c 18 до 22 часов,1326
513,8,0,3,,#олимпикс_марафон,2021-04-16 16:56:00,2021-04-16,16:56:00,c 14 до 18 часов,1326
551,14,0,3,,#олимпикс_подборка,2021-04-16 12:37:41,2021-04-16,12:37:41,c 10 до 14 часов,1326
508,9,0,0,,#олимпикс_марафон,2021-04-15 12:25:58,2021-04-15,12:25:58,c 10 до 14 часов,1326
17311,46,2,49,,#олимпикс_выездная,2021-04-12 23:02:15,2021-04-12,23:02:15,после 22 часов,1326
676,12,0,1,,#олимпикс_марафон,2021-04-11 21:24:28,2021-04-11,21:24:28,c 18 до 22 часов,1326
1129,21,0,12,,#олимпикс_анонс,2021-04-11 00:56:47,2021-04-11,00:56:47,до 10 утра,1326
622,15,0,3,,#олимпикс_подборка,2021-04-10 15:52:54,2021-04-10,15:52:54,c 14 до 18 часов,1326
583,7,0,1,49.0,#олимпикс_опрос,2021-04-04 02:15:54,2021-04-04,02:15:54,до 10 утра,1326
537,7,0,0,,#олимпикс_интервью,2021-04-03 01:49:17,2021-04-03,01:49:17,до 10 утра,1326
777,24,0,3,,#олимпикс_подборка,2021-03-29 18:05:27,2021-03-29,18:05:27,c 18 до 22 часов,1326
563,12,0,2,,#олимпикс_термин,2021-03-26 12:25:18,2021-03-26,12:25:18,c 10 до 14 часов,1326
547,11,0,1,,#олимпикс_рекомендация,2021-03-20 13:53:52,2021-03-20,13:53:52,c 10 до 14 часов,1326
675,18,0,4,,#олимпикс_анонс,2021-03-18 01:30:38,2021-03-18,01:30:38,до 10 утра,1326
580,16,0,9,,#олимпикс_подборка,2021-03-13 19:46:35,2021-03-13,19:46:35,c 18 до 22 часов,1326
644,14,2,3,,,2021-03-11 13:16:23,2021-03-11,13:16:23,c 10 до 14 часов,1326
573,12,0,1,,#олимпикс_рекомендация,2021-03-08 21:44:18,2021-03-08,21:44:18,c 18 до 22 часов,1326
522,14,0,6,,#олимпикс_рекомендация,2021-03-05 18:05:41,2021-03-05,18:05:41,c 18 до 22 часов,1326
18878,24,2,13,,#олимпикс_интенсив,2021-03-01 21:57:30,2021-03-01,21:57:30,c 18 до 22 часов,1326
486,9,0,1,,#олимпикс_термин,2021-03-01 18:23:34,2021-03-01,18:23:34,c 18 до 22 часов,1326
